ts_code,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,employees
002815.SZ,SZSE,姜雪飞,姜雪飞,余忠,88254.6777,19950504,广东,深圳市,www.suntakpcb.com,zqb@suntakpcb.com,4463
300788.SZ,SZSE,王斌,施宏俊,王丹军,19015.1515,19930216,北京,北京市,press.citic,IR@citicpub.com,1645
002850.SZ,SZSE,励建立,励建炬,罗丽娇,21000,19960920,广东,深圳市,www.kedali.com.cn,ir@kedali.com.cn,3194
002723.SZ,SZSE,杨健佳,卢保山,梁惠玲,19220.7,20071129,广东,江门市,www.kennede.com,kn_anyby@kennede.com,1328
002817.SZ,SZSE,余春明,余超彪,项先理,14733.9,19960812,安徽,宣城市,www.hsjn.com,xxl@hsjn.com;wbz@hsjn.com,666
300204.SZ,SZSE,周志文,张荣秦,马莉娜,47603.4544,20020816,北京,北京市,www.staidson.com,securities@staidson.com,866
300347.SZ,SZSE,曹晓春,曹晓春,Gao Jun(高峻),87258.035,20041215,浙江,杭州市,www.tigermedgrp.com,ir@tigermedgrp.com;xiaori.li@tigermed.net;jgao@tigermed.net,5312
300211.SZ,SZSE,王桂珍,王桂珍,周叙明,30267.5973,20010815,江苏,苏州市,www.yitong-group.com,yitong@yitong-group.com;zhouxuming@yitong-group.com;yinli@yitong-group.com,206
300298.SZ,SZSE,李少波,李少波,黄安国,56531.4734,20020807,湖南,长沙市,www.sinocare.com,investor@sinocare.com;mail@sinocare.com,2824
300399.SZ,SZSE,高磊,邝青,赵楠,19760,20060118,北京,北京市,www.ihandy.cn,IRM@ihandy.cn,356
300847.SZ,SZSE,张民忠,汪学文,申其林,19734,20000615,河北,邯郸市,www.hg-oa.com,hgoazqb@hg-oa.com,940
002996.SZ,SZSE,王真见,王增潮,王珲,43900,20030321,重庆,重庆市,www.soonbest.com,ir@soonbest.com,975
300281.SZ,SZSE,汪帆,马佳圳,郑芸,41892.358,19871201,广东,汕头市,www.jmjj.com,stock@jmjj.com,539
300556.SZ,SZSE,李萌迪,李萌迪,王军平,11772.6825,20000323,广东,深圳市,www.silkroadcg.com,securities@silkroadcg.com;wangyu@silkroadcg.com,2069
002830.SZ,SZSE,蓝继晓,蓝继晓,刘灿星,13334,19990824,广东,深圳市,www.mingdiao.com.cn,mingdiaozhuangshi@yeah.net,1790
300158.SZ,SZSE,李安平,马士锋,宁潞宏,102749.466,19951115,山西,长治市,www.zdjt.com,zqb@zdjt.com,3861
002818.SZ,SZSE,刘兵,刘义,张凤术,75185.69,20001207,四川,成都市,www.fsmjj.cn,zqb@fsmjj.com,747
002982.SZ,SZSE,喻自文,喻自文,何业春,10188,20030408,湖南,常德市,www.xiangjiamuye.com,hnsjnmgs@163.com;1341889908@qq.com,5167
300606.SZ,SZSE,杨璐,杨璐,杜燕艳,9345.7,20040921,广东,东莞市,www.chinagoldensun.cn,zqb@chinagoldensun.cn,440
002542.SZ,SZSE,吴延炜,吴延炜,赵鹏,180557.1309,20011206,北京,北京市,www.cge.com.cn,cge@cge.com.cn,2005
300567.SZ,SZSE,彭骞,陈凯,程疆,24668.304,20060420,湖北,武汉市,www.wuhanjingce.com,zqb@wuhanjingce.com;chengjiang@wuhanjingce.com;liubinghua@wuhanjingce.com,2216
002912.SZ,SZSE,李守宇,凌东胜,李斌,17447.104,20030208,广东,深圳市,www.sinovatio.com,ir@sinovatio.com,1259
300270.SZ,SZSE,石旭刚,石旭刚,孙琳,30280.6028,20000314,浙江,杭州市,www.joyware.com,obb@joyware.com;sunlin@joyware.com;huhui@joyware.com,151
300536.SZ,SZSE,吴亮,白刚,徐成龙,29328.8133,20000428,湖北,武汉市,www.nusunlandscape.com,nusunlandscape@163.com,325
300357.SZ,SZSE,胡赓熙,胡赓熙,管祯玮,52358.4,20020919,浙江,湖州市,www.wolwobiotech.com,invest@wolwobiotech.com,1067
300348.SZ,SZSE,王长春,李劲松,徐亚丽,72147.9478,20020428,广东,深圳市,www.sunline.cn,invest@sunline.cn,4790
300160.SZ,SZSE,卢秀强,卢秀强,高迎,61850.2423,20010928,江苏,宿迁市,www.jsxq.com,zqb@jsxq.com,1721
300417.SZ,SZSE,杨耀光,梁伟明,伍颂颖,13700.8376,19960424,广东,佛山市,www.nanhua.com.cn,IR@nanhua.com.cn,559
002767.SZ,SZSE,石扬,石扬,程迪尔,15000,19911020,浙江,杭州市,www.innover.com.cn,webmast@innover.com.cn;chengdier@163.com;lumengyao@innover.com.cn,485
300826.SZ,SZSE,储征伟,储征伟,左都美,8000,19910408,江苏,南京市,www.njcky.com,zuodm@njcky.com;wuzg@njcky.com,839
300352.SZ,SZSE,林皓,林皓,徐文峰,144982.4087,19960528,北京,北京市,www.vrv.com.cn,vrvzq@vrvmail.com.cn,1346
300243.SZ,SZSE,周仕斌,刘春信,赵子阳,23232.2851,20011026,山东,淄博市,www.ruifengchemical.com,zhaozy@ruifengchemical.com;stock@ruifengchemical.com,580
300312.SZ,SZSE,张庆文,张庆文,陈洪亮,32004,20021024,北京,北京市,www.boomsense.com,zqb@boomsense.com,251
002941.SZ,SZSE,沈金生,王成,林强,64500,19990127,新疆,乌鲁木齐市,www.xjjtjt.com,zqb@xjjjjt.com,1950
300521.SZ,SZSE,李明之,朱凡,陆叶,14400,20061218,广东,广州市,www.amsky.cc,amsky@amsky.cc;lixx@amsky.cc,281
300861.SZ,SZSE,吴英,贾海波,周湘,40001,20150707,陕西,咸阳市,www.ylmetron.com,securities@ylmetron.com,1694
300869.SZ,SZSE,胡坤,杨志山,郑敏,40179.68,19960709,河北,秦皇岛市,www.contecmed.com.cn,contec_sec@hotmail.com,1200
002958.SZ,SZSE,刘仲生,刘宗波,隋功新,555555.5556,20120626,山东,青岛市,www.qrcb.com.cn,qrcb@qrcb.com.cn,5128
300464.SZ,SZSE,蔡耿锡,陈惠吟,鲁金莲,35312.2175,19941111,广东,佛山市,www.sh-abc.cn,sec@sh-abc.cn,1816
300773.SZ,SZSE,孙陶然,舒世忠,朱国海,80002,20050106,北京,北京市,www.lakala.com,contact@lakala.com,3640
300366.SZ,SZSE,陆文斌,何文江,王晓伟,52557.615,19961209,四川,成都市,www.troy.cn,zq@troy.cn,1494
002798.SZ,SZSE,刘进,吴志雄,吴朝容,38894.5564,19940314,四川,成都市,www.monarch-sw.com,monarch-zq@monarch-sw.com;wuchaorong@monarch-sw.com;daiyu@monarch-sw.com,5882
002838.SZ,SZSE,于晓宁,田洪池,王有庆,40702.75,20021206,山东,烟台市,www.dawnprene.com,wang.youqing@chinadawn.cn;zuo.yina@chinadawn.cn,1000
300621.SZ,SZSE,郭瑾,,张继军,20810.8,19941018,广东,深圳市,www.szweiye.com,wyzqsw@szweiye.com;zhanfeng@szweiye.com,944
300391.SZ,SZSE,郭晓伟,宗军,杨月晓,35033.6112,20011224,山东,潍坊市,www.chinakangyue.com,yuexiao_yang@chinakangyue.com;wmin@email.chinakangyue.com,1098
002795.SZ,SZSE,曹德莅,鲜中东,刘杰,20000,20030828,浙江,台州市,www.yhvalve.com,dongmi@yhvalve.com;yorhe_dm@163.com;yorhe_luox@163.com,861
300665.SZ,SZSE,章卫国,章卫国,何晓锋,12156,19980521,湖南,株洲市,www.zzfeilu.com,zzfeilu@zzfeilu.com,457
300545.SZ,SZSE,聂泉,聂泉,钟辉,14614.8621,20020607,广东,深圳市,www.liande-china.com,irm@szliande.com,1078
002742.SZ,SZSE,潘呈恭,潘呈恭,杨艳,43200,20020510,重庆,重庆市,www.cqssgf.com,ir@cqssgf.com,3122
300729.SZ,SZSE,项乐宏,项乐宏,朱伟,13889.608,20020326,浙江,宁波市,www.loctek.com,law@loctek.com,1812
002706.SZ,SZSE,任思龙,陈平,程秋高,78473.6895,19990107,上海,上海市,www.sh-liangxin.com,fangyan@sh-liangxin.com;chengqiugao@sh-liangxin.com,2229
300890.SZ,SZSE,周鹏伟,赵东辉,叶文国,10000,20090612,广东,深圳市,www.xiangfenghua.com,public@xfhinc.com,427
002531.SZ,SZSE,严俊旭,严俊旭,严俊旭,177901.9047,20050118,江苏,苏州市,www.titanwind.com.cn,public@titanwind.com.cn;yuyh@titanwind.com.cn,1524
300451.SZ,SZSE,葛航,张吕峥,胡燕,119183.2096,19971210,浙江,杭州市,www.bsoft.com.cn,bsoft@bsoft.com.cn;huy@bsoft.com.cn;xus@bsoft.com.cn,3194
300881.SZ,SZSE,周文庆,缪一新,周阳益,10000,20011015,江苏,常州市,www.shengdechina.com,webmaster@shengdechina.com,512
300639.SZ,SZSE,黄伟雄,管乔中,陈毅,23538.1848,20030613,广东,潮州市,www.hybribio.cn,zqsw@hybribio.cn,1340
300740.SZ,SZSE,戴跃锋,戴跃锋,吴小瑾,41106.0477,20121101,湖南,长沙市,www.yujiahui.com,ir@yujiahui.com,1622
300655.SZ,SZSE,吴天舒,薛利新,吴天舒,18873.525,20011129,江苏,苏州市,www.jingrui-chem.com.cn,ir@jingrui-chem.com.cn,444
002646.SZ,SZSE,李银会,鲁水龙,赵洁,45000,20050127,青海,海东市,www.002646.com,zhaojie@qkj.com.cn;yinqijuan@qkj.com.cn;tydqkj@qkj.com.cn,2395
300484.SZ,SZSE,邱文渊,邱文渊,杨延帆,20800,20060205,广东,深圳市,www.v-t.net.cn,information@v-t.net.cn,412
300364.SZ,SZSE,童之磊,童之磊,王京京,72729.531,20001219,北京,北京市,www.col.com,ir@col.com,614
300893.SZ,SZSE,胡铲明,胡凯纳,陈斌权,10000,20010706,浙江,宁波市,www.songyuansafety.com,IR@songyuansafety.com,685
300475.SZ,SZSE,徐伟,徐伟,曾柏林,42000,19980916,安徽,宣城市,www.ahjlcd.com,ahjlcd@126.com;zbolin@126.com;hyshen0921@163.com;bwyalice@163.com,655
300176.SZ,SZSE,卢楚隆,卢楚隆,卢宇轩,38728.08,20030722,广东,肇庆市,www.hongteo.com.cn,ZQ@hongteo.com.cn,3034
300355.SZ,SZSE,樊俊梅,樊俊梅,安旭涛,160424.2081,20010612,内蒙古,呼和浩特市,www.mengcao.com,mckh2010@163.com;15206985@qq.com;anxutao@126.com,1464
300255.SZ,SZSE,高晓东,高晓东,高晓东,93496.6878,20000928,河北,石家庄市,www.hbcsbio.com,zhengquan@heparin.cn;changshanyaoye@sina.com;csyyzqb@163.com,1003
002681.SZ,SZSE,肖奋,肖奋,谢玉平,182466.762,19930414,广东,深圳市,www.fenda.com,fdkj@fenda.com;crystal.xieyuping@fenda.com;robin.luoxiaobin@fenda.com,7258
300751.SZ,SZSE,周剑,王正根,刘琼,5200,20100908,江苏,苏州市,www.maxwell-gp.com,bod@maxwell-gp.com.cn;zqb@maxwell-gp.com.cn,1254
002951.SZ,SZSE,李海坚,李海坚,温思凯,40500,20081224,四川,成都市,www.jinshigp.com,jszq@jinshigp.com,517
300237.SZ,SZSE,窦茂功,王永刚,李炜刚,145307.251,20041108,山东,潍坊市,www.meichen.cc,liweigang@meichen.cc;meichen@meichen.cc;zhangyunxia@meichen.cc,2555
002992.SZ,SZSE,李军,张春,张国宏,13796.095,20060810,广东,深圳市,www.bmseiko.com,bm@bmseiko.com,2110
300292.SZ,SZSE,万卫方,张建国,李勇,127485.0476,19990622,江苏,苏州市,www.cnwutong.com,wutong@cnwutong.com,1223
002730.SZ,SZSE,石晓霞,石向才,曹汉君,32267.4,19980902,浙江,温州市,www.dianguang.com,ir@dianguang.com,1455
002694.SZ,SZSE,张鹏,王洪波,张东峰,59719.68,19991018,湖北,鄂州市,www.goody.com.cn,goody@goody.com.cn;zhangdongfeng@goody.com.cn;wangguiqi@goody.com.cn,2004
300491.SZ,SZSE,马晓峰,董顺忠,祝佳霖,16076.1503,19981221,河北,石家庄市,www.sjzthdz.com,zhujialin@sjzthdz.com;guoqiaolin@sjzthdz.com;Investor@sjzthdz.com,584
300626.SZ,SZSE,孙瑞良,康健,宋光辉,18000,19960212,浙江,宁波市,www.hrdq.cn,info@hrdq.cn,1524
300779.SZ,SZSE,张新功,李正,史惠芳,10000,20060227,山东,青岛市,www.hcpect.com,stock@hcpect.com,519
300457.SZ,SZSE,王维东,王维东,王晋,65225.7463,20060626,广东,深圳市,www.yhwins.com,yinghekeji@yhwins.com;wangjin@yhwins.com;yuanling@yhwins.com,2745
300717.SZ,SZSE,李振斌,李振斌,束珺,10240,20000606,江苏,徐州市,www.huaxinchina.cc,huaxin@huaxinchina.cc,400
002528.SZ,SZSE,刘肇怀,刘新宇,华元柳,119867.5082,20001018,广东,深圳市,www.infinova.com.cn,invrel@infinova.com.cn,1556
002855.SZ,SZSE,郑杰,郑杰,黄蓉芳,25094.4762,20070925,广东,东莞市,www.chitwing.com,public@chitwing.com;huangrf@chitwing.com,7636
300658.SZ,SZSE,谢继华,谢继华,黄腾,15178.5,20000403,福建,厦门市,www.yanjan.com,yanjanxincai@yanjan.com,1099
300537.SZ,SZSE,李有明,李有明,张启斌,19302.7584,20060512,江苏,无锡市,www.kuangshun.com,kuangshun_ir@kuangshun.com,836
002546.SZ,SZSE,胡敏,刘文娟,彭辉,83404.9096,20030925,江苏,南京市,www.xldz.com,ph@njxldz.com;luxiangrong@xldz.com;xldz@xldz.com,1136
300369.SZ,SZSE,沈继业,胡忠华,赵晓凡,79811.7661,20000425,北京,北京市,www.nsfocus.com,webadmin@nsfocus.com;ir@nsfocus.com;zhaoxiaofan@nsfocus.com,2941
300718.SZ,SZSE,孙志华,陆晓林,何寅,19800,19950614,浙江,嘉兴市,www.csb.com.cn,daihl@csb.com.cn,793
300531.SZ,SZSE,GUO SONG,GUO SONG,刘镇,32305.3129,20060126,广东,深圳市,www.urovo.com,info@urovo.com;liuzhen@urovo.com;teng.wang@urovo.com,627
300489.SZ,SZSE,朱世会,龚涛,杨宗璇,13612.5,20060719,黑龙江,哈尔滨市,www.zfgf.cc,hrbzfgf@126.com,306
300172.SZ,SZSE,王政福,朱来松,张维,52071.055,20010118,江苏,南京市,www.ce-ep.com,ceep@ce-ep.com;zhangwei.cec@163.com;qiujiayun1986@126.com,534
002765.SZ,SZSE,朱堂福,朱俊翰,卞卫芹,57517.529,19960508,重庆,重庆市,www.cqld.com,landai@cqld.com,2708
300280.SZ,SZSE,姚小欣,LIXIANG(李想),姚小欣,16206.5744,20020321,江苏,南通市,www.ntdy.com.cn,ntdydsh@163.com,535
002791.SZ,SZSE,白宝鲲,白宝鲲,殷建忠,32154,20030626,广东,东莞市,www.kinlong.com,dsb@kinlong.com,11371
300393.SZ,SZSE,林建伟,林建伟,张超,77830.5256,20080307,江苏,苏州市,www.jolywood.cn,stock@jolywood.cn,2347
300184.SZ,SZSE,赵马克,赵马克,王晓东,117815.8222,20010809,湖北,武汉市,www.icbase.com,zqb@icbase.com,1184
300860.SZ,SZSE,沙晓岚,沙晓岚,李勇,7207.4057,20020730,北京,北京市,www.fssjart.com,fssj@fssjart.com,245
002755.SZ,SZSE,陈庆财,陈庆财,任为荣,92816.0351,19961224,北京,北京市,www.ask-pharm.com,ir@ask-pharm.com,2049
300345.SZ,SZSE,熊猛,盛红益,赖艳红,44129.5483,19950731,湖南,长沙市,www.huaminchina.cn,hn_hy2009@163.com;huamin@huaminchina.cn,298
002658.SZ,SZSE,敖小强,敖小强,魏鹏娜,60490.0075,20010924,北京,北京市,www.chsdl.com,zqb@chsdl.com;weipengna@chsdl.com;yangyuanyuan@chsdl.com,2107
002632.SZ,SZSE,胡智彪,胡智彪,胡智彪,62459.909,20071122,浙江,金华市,www.chinadaoming.com,stock@chinadaoming.com,1401
300618.SZ,SZSE,梁建坤,梁杰,陶凯,30292.2432,19970512,江苏,南京市,www.hrcobalt.com,hrgy@hrcobalt.com,1153
300409.SZ,SZSE,荣继华,荣继华,张翼,45999.458,20070921,广东,江门市,www.dowstone.com.cn,dm@dowstone.com.cn,1322
300316.SZ,SZSE,曹建伟,何俊,陆晓雯,128448.9364,20061214,浙江,绍兴市,www.jsjd.cc,jsjd@jsjd.cc;taohuanjun@jsjd.cc,2160
300499.SZ,SZSE,李琦,李琦,谢荣钦,27829.9467,20010629,广东,广州市,www.goaland.com.cn,xierq@goaland.com.cn;IR@goaland.com.cn;xuyh@goaland.com.cn;liaoc@goaland.com.cn,1193
003019.SZ,SZSE,孙大明,李明芳,钟柏安,9600,20150414,福建,厦门市,www.tes-tec.com,IR@tes-tec.com,733
300670.SZ,SZSE,陈杰,曾治,陈杰,31589.0479,20111221,江苏,南京市,www.daybright.cn,tzzgx@dayedq.com;yup@dayedq.com,508
002793.SZ,SZSE,刘保起,刘保起,马家烈,145377.6638,19980511,浙江,台州市,www.luoxin.cn,IR@luoxin.cn,7177
002731.SZ,SZSE,郭英杰,柴钢,郭裕春,25615.6,19850105,辽宁,沈阳市,www.chjd.com.cn,chgf_zqb@163.com,794
002356.SZ,SZSE,王磊,赵建,王磊,52780.6548,19941102,广东,深圳市,www.hemei.cn,investment@hemei.cn;tianxi@hemei.cn;wanglei@hemei.cn,1015
300177.SZ,SZSE,廖定海,廖定海,陈锦鸿,67694.0853,20060621,广东,广州市,www.hi-target.com.cn/www.zhdgps.com,zhengquan@hi-target.com.cn;zhengquan@zhdgps.com,3297
002785.SZ,SZSE,胡精沛,邹鹏,朱著香,20000,19961218,福建,厦门市,www.wanlistone.com,zhengquan@wanli.com;zzx@wanli.com,1045
002796.SZ,SZSE,王娟,韩惠明,姚跃文,25242.6948,19900420,江苏,苏州市,www.sz-shijia.com,shijiagufen@shijiakj.com,2151
300079.SZ,SZSE,郑海涛,郑海涛,姚志坚,142900.8862,20000314,北京,北京市,www.sumavision.com,sumavision@sumavision.com.cn,731
300766.SZ,SZSE,方毅,方毅,李浩川,40010,20101207,浙江,杭州市,www.ge.cn,info@getui.com,609
300526.SZ,SZSE,张顺,仰智慧,尹晓莹,20424.8968,20030410,广东,惠州市,www.china-dive.com,zqgf888@163.com;zqgf66@163.com;zqgf8888@163.com;ir@sumnet.com.cn,1269
300561.SZ,SZSE,陈喆,陈喆,孙玉玲,25245.0683,20050126,广东,珠海市,www.sgsg.cc,investor@sgsg.cc;huanghuiying@sgsg.cc;cailinsheng@sgsg.cc,339
002602.SZ,SZSE,王苗通,王一锋,郦冰洁,745255.6968,20051031,浙江,绍兴市,www.sjhuatong.com,sjhuatong@sjhuatong.com;bingjie_li@sjhuatong.com,6527
002690.SZ,SZSE,田明,沈海斌,程晓宏,67600,20000303,安徽,合肥市,www.chinameyer.com,mygd@chinameyer.com,1241
002829.SZ,SZSE,迟家升,徐烨烽,袁晓宣,15695.442,20050520,北京,北京市,www.starneto.com,hjc@starneto.com;yxx@starneto.com,602
300471.SZ,SZSE,王季文,黄耀辉,胡莞苓,36472,20050107,四川,成都市,www.hqhop.com,hpgf@hqhop.com,729
300285.SZ,SZSE,张曦,张兵,许少梅,96334.1059,20050421,山东,东营市,www.sinocera.cn,sinocera@sinocera.cn;xushaomei@sinocera.cn;zhaohongyan@sinocera.cn,2681
