ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,market
515610.SH,中银中证800ETF,中银基金,中信银行,股票型,20200716,,20200818,20200430,,3.7786,0.45,0.05,,1,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,E
159999.SZ,永赢500,永赢基金,中国银行,股票型,20200714,,20200812,20200608,,3.4234,0.15,0.05,,1,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,E
511180.SH,上证可转债ETF,海富通基金,中信证券,债券型,20200713,,20200826,20200508,,6.026,0.25,0.05,,1,0.1,,上证投资级可转债及可交换债券指数收益率,L,被动指数型,契约型开放式,E
518600.SH,上海金ETF,广发基金,招商银行,商品型,20200708,,20200805,20200618,,6.0706,0.5,0.1,,1,0.1,,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,L,黄金现货合约,契约型开放式,E
518680.SH,上海金ETF基金,富国基金,浦发银行/上海浦东发展银行,商品型,20200706,,20200728,20200611,,3.5589,0.5,0.1,,1,0.1,,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,L,黄金现货合约,契约型开放式,E
510570.SH,兴业中证500ETF,兴业基金,中国银行,股票型,20200630,,20200812,20200506,,2.1806,0.5,0.1,,1,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,E
515560.SH,证券ETF建信,建信基金,中信证券,股票型,20200629,,20200720,20200428,,29.7788,0.2,0.05,,1,0.1,,中证全指证券公司指数,L,被动指数型,契约型开放式,E
512320.SH,工银MSCI中国ETF,工银瑞信基金,中信建投,股票型,20200629,,20200807,20200601,,6.5904,0.5,0.1,,1,0.1,,MSCI中国A股人民币指数收益率,L,被动指数型,契约型开放式,E
159814.SZ,创业大盘,西部利得基金,中国农业银行,股票型,20200619,,20200717,20200525,,4.084,0.5,0.1,,1,0.1,,创业板大盘指数收益率,L,被动指数型,契约型开放式,E
511050.SH,地方债ETF,兴业基金,中国银行,债券型,20200618,,20200730,20200316,,4.0155,0.25,0.1,,1,0.1,,上证1-5年期地方政府债指数收益率,L,被动指数型,契约型开放式,E
159810.SZ,浦银创业,浦银安盛基金,中国工商银行,股票型,20200612,,20200710,20200319,,2.6648,0.15,0.05,,1,0.1,,创业板指数收益率,L,被动指数型,契约型开放式,E
515830.SH,工银中证800ETF,工银瑞信基金,兴业银行,股票型,20200601,,20200717,20200327,,3.9108,0.45,0.07,,1,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,E
513080.SH,法国CAC40ETF,华安基金,中国银行,股票型,20200529,,20200612,20200330,,2.5692,0.5,0.15,,1,0.1,,法国CAC40指数收益率(经汇率调整后),L,被动指数型,契约型开放式,E
515100.SH,低波红利ETF,景顺长城基金,交通银行,股票型,20200522,,20200703,20200427,,12.7694,0.5,0.1,,1,0.1,,中证红利低波动100指数收益率,L,被动指数型,契约型开放式,E
515820.SH,800ETF基金,富国基金,中国工商银行,股票型,20200513,,20200529,20200327,,2.4853,0.15,0.05,,1,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,E
515770.SH,上投摩根MSCIAETF,上投摩根基金,平安银行,股票型,20200513,,20200619,20200413,,7.4473,0.15,0.05,,1,0.1,,MSCI中国A股人民币指数收益率,L,被动指数型,契约型开放式,E
510690.SH,兴业金融ETF,兴业基金,招商银行,股票型,20200508,,20200622,20200302,,2.9584,0.5,0.1,,1,0.1,,上证180金融股指数收益率,L,被动指数型,契约型开放式,E
159809.SZ,恒生湾区,博时基金,招商银行,股票型,20200430,,20200521,20200330,,3.9117,0.15,0.05,,1,0.1,,恒生沪深港通大湾区综合指数收益率,L,被动指数型,契约型开放式,E
167508.SZ,安信价值,安信基金,中国工商银行,混合型,20200430,,20200608,20200401,,4.0178,1.5,0.25,,1,0.001,,沪深300指数收益率*70%+中债总指数(全价)收益率*25%+恒生指数收益率*5%,L,混合型,契约型开放式,E
515190.SH,中银证券500ETF,中银证券,招商银行,股票型,20200430,,20200527,20200330,,2.5147,0.15,0.05,,1,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,E
515780.SH,浦银MSCI中国ETF,浦银安盛基金,中国银行,股票型,20200430,,20200529,20200320,,5.5479,0.15,0.05,,1,0.1,,MSCI中国A股人民币指数收益率,L,被动指数型,契约型开放式,E
159988.SZ,粤债ETF,平安基金,中国银行,债券型,20200429,,20200529,20200224,,6.6149,0.15,0.05,,1,0.1,,中债-0-5年广东省地方政府债指数,L,被动指数型,契约型开放式,E
159812.SZ,黄金基金,前海开源基金,中国建设银行,商品型,20200429,,20200529,20200407,,3.1717,0.5,0.1,,1,0.1,,上海黄金交易所Au99.99现货实盘合约收益率,L,黄金现货合约,契约型开放式,E
159803.SZ,浙江ETF,易方达基金,中国工商银行,股票型,20200427,,20200526,20200122,,2.6685,0.5,0.15,,1,0.1,,中证浙江新动能指数收益率,L,被动指数型,契约型开放式,E
515960.SH,医药健康ETF,嘉实基金,中国银行,股票型,20200424,,20200610,20200325,,3.4399,0.5,0.1,,1,0.1,,中证医药健康100策略指数收益率,L,被动指数型,契约型开放式,E
518660.SH,黄金ETF基金,工银瑞信基金,中国农业银行,商品型,20200424,,20200529,20200323,,5.6667,0.5,0.1,,1,0.1,,上海黄金交易所Au99.99现货实盘合约收盘价收益率,L,黄金现货合约,契约型开放式,E
159813.SZ,芯片,鹏华基金,申万宏源证券,股票型,20200417,,20200525,20200325,,5.5974,0.5,0.1,,1,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,E
515670.SH,中银中证100ETF,中银基金,中信证券,股票型,20200417,,20200520,20200320,,3.1982,0.45,0.09,,1,0.1,,中证100指数收益率,L,被动指数型,契约型开放式,E
515620.SH,中证800ETF基金,建信基金,中金公司,股票型,20200417,,20200525,20200316,,3.2116,0.15,0.05,,1,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,E
159802.SZ,800ETF,广发基金,中国工商银行,股票型,20200413,20200915,20200515,20200323,20200923,2.2252,0.15,0.05,,1,0.1,,中证800指数收益率,D,被动指数型,契约型开放式,E
515930.SH,永赢沪深300ETF,永赢基金,中国工商银行,股票型,20200413,,20200508,20200323,,2.8191,0.15,0.05,,1,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,E
518850.SH,黄金ETF9999,华夏基金,中国建设银行,商品型,20200413,,20200605,20200327,,3.3362,0.5,0.1,,1,0.1,,上海黄金交易所黄金现货实盘合约Au99.99价格收益率,L,黄金现货合约,契约型开放式,E
501099.SH,平安科技创新,平安基金,平安银行,混合型,20200410,,20200701,20200305,,2.0456,1.5,0.25,,1,0.01,,中国战略新兴产业成份指数收益率*65%+中债总指数收益率*20%+恒生指数收益率(经汇率估值调整)*15%,L,灵活配置型,契约型开放式,E
510200.SH,上证券商ETF,汇安基金,兴业证券,股票型,20200409,,20200508,20200316,,2.0389,0.5,0.1,,1,0.1,,上证证券行业指数,L,被动指数型,契约型开放式,E
168701.SZ,金融科技,合煦智远基金,申万宏源证券,股票型,20200403,,20200506,20200302,,5.2143,0.5,0.1,,1,0.001,,国证香蜜湖金融科技指数,L,被动指数型,契约型开放式,E
515130.SH,沪深300ETF博时,博时基金,中国建设银行,股票型,20200403,,20200511,20200309,,2.6546,0.15,0.05,,1,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,E
515280.SH,富国银行ETF,富国基金,中信证券,股票型,20200401,,20200417,20200311,,3.1262,0.5,0.1,,1,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,E
159811.SZ,5G50ETF,博时基金,中信建投,股票型,20200327,,20200422,20200316,,13.4434,0.45,0.1,,1,0.1,,中证5G产业50指数收益率,L,被动指数型,契约型开放式,E
164508.SZ,国富100,国海富兰克林基金,中国银行,股票型,20200327,,20200422,20200327,,1.3414,0.85,0.15,,1,,,中证100指数收益率*95%+银行同业存款利率*5%,L,增强指数型,契约型开放式,E
501098.SH,科创建信,建信基金,中国农业银行,混合型,20200326,,20200427,20200305,,3.0917,1.2,0.2,,1,0.001,,中国战略新兴产业成份指数收益率*50%+中证综合债指数收益率*45%+恒生指数收益率(使用估值汇率折算)*5%,L,灵活配置型,契约型开放式,E
501097.SH,科创国寿,国寿安保基金,中国民生银行,混合型,20200326,,20200828,20200312,,3.3005,1.2,0.2,,1,0.001,,中证全债指数收益率*60%+中国战略新兴产业成份指数收益率*40%,L,灵活配置型,契约型开放式,E
159998.SZ,计算机,天弘基金,中信证券,股票型,20200320,,20200413,20200302,,2.8786,0.5,0.1,,1,0.1,,中证计算机主题指数收益率,L,被动指数型,契约型开放式,E
160527.SZ,研究优选,博时基金,中国银行,混合型,20200320,,20200619,20200309,,20.5379,1.5,0.25,,1,0.001,,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,L,灵活配置型,契约型开放式,E
515890.SH,中证红利指数ETF,博时基金,招商银行,股票型,20200320,,20200420,20200224,,3.1244,0.15,0.05,,1,0.1,,中证红利指数收益率,L,被动指数型,契约型开放式,E
159991.SZ,创大盘,招商基金,中信建投,股票型,20200320,,20200424,20200302,,3.3973,0.2,0.1,,1,0.1,,创业板大盘指数收益率,L,被动指数型,契约型开放式,E
159992.SZ,创新药,银华基金,上海银行,股票型,20200320,,20200410,20200302,,49.1638,0.5,0.05,,1,0.1,,中证创新药产业指数,L,被动指数型,契约型开放式,E
515690.SH,股息龙头ETF,鹏华基金,中信证券,股票型,20200320,,20200513,20200224,,2.2309,0.2,0.1,,1,0.1,,中证高股息龙头指数收益率,L,被动指数型,契约型开放式,E
501096.SH,国联安科创,国联安基金,中国建设银行,混合型,20200320,,20200722,20200225,,5.5603,1.2,0.2,,1,0.001,,中国战略新兴产业成份指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率(使用估值汇率折算)*10%,L,灵活配置型,契约型开放式,E
515510.SH,成长估值ETF,嘉实基金,中国银行,股票型,20200316,,20200506,20200203,,2.3553,0.5,0.1,,1,0.1,,中证500成长估值指数收益率,L,被动指数型,契约型开放式,E
515950.SH,医药50ETF基金,富国基金,招商银行,股票型,20200316,,20200401,20200121,,2.772,0.5,0.1,,1,0.1,,中证医药50指数收益率,L,被动指数型,契约型开放式,E
159807.SZ,科技ETF,易方达基金,中国银行,股票型,20200316,,20200330,20200309,,15.0003,0.15,0.05,,1,0.1,,中证科技50指数收益率,L,被动指数型,契约型开放式,E
513090.SH,香港证券ETF,易方达基金,招商银行,股票型,20200313,,20200326,20200224,,10.1999,0.15,0.05,,1,0.1,,中证香港证券投资主题指数收益率(使用估值汇率折算),L,被动指数型,契约型开放式,E
501095.SH,BOCI科创,中银证券,中国农业银行,混合型,20200312,,20200708,20200227,,8.8468,1.2,0.2,,1,0.001,,中国战略新兴产业成份指数收益率*55%+中债综合全价指数收益率*45%,L,灵活配置型,契约型开放式,E
159806.SZ,新能车,国泰基金,浦发银行/上海浦东发展银行,股票型,20200310,,20200320,20200302,,23.607,0.5,0.1,,1,0.1,,中证新能源汽车指数收益率,L,被动指数型,契约型开放式,E
159978.SZ,湾区ETF,建信基金,招商银行,股票型,20200306,,20200414,20200120,,8.6692,0.3,0.1,,1,0.1,,中证沪港深粤港澳大湾区发展主题指数,L,被动指数型,契约型开放式,E
511380.SH,可转债ETF,博时基金,招商银行,债券型,20200306,,20200407,20200210,,6.0187,0.15,0.05,,1,0.1,,中证可转债及可交换债券指数收益率,L,被动指数型,契约型开放式,E
159805.SZ,传媒ETF,鹏华基金,中国建设银行,股票型,20200306,,20200417,20200217,,24.6245,0.5,0.1,,1,0.1,,中证传媒指数收益率,L,被动指数型,契约型开放式,E
159804.SZ,创精选88,国寿安保基金,中信证券,股票型,20200304,,20200331,20200219,,3.499,0.3,0.1,,1,0.1,,国证创业板中盘精选88指数,L,被动指数型,契约型开放式,E
515630.SH,证保ETF,鹏华基金,中国建设银行,股票型,20200228,,20200403,20200113,,6.8572,0.5,0.1,,1,0.1,,中证800证券保险指数收益率,L,被动指数型,契约型开放式,E
159996.SZ,家电ETF,国泰基金,浦发银行/上海浦东发展银行,股票型,20200227,,20200316,20200210,,9.3255,0.5,0.1,,1,0.1,,中证全指家用电器指数收益率,L,被动指数型,契约型开放式,E
159997.SZ,电子ETF,天弘基金,海通证券,股票型,20200227,,20200320,20200210,,11.5431,0.5,0.1,,1,0.1,,中证电子指数收益率,L,被动指数型,契约型开放式,E
159983.SZ,大湾区,华夏基金,招商银行,股票型,20200225,,20200423,20200204,,4.3675,0.3,0.1,,1,0.1,,粤港澳大湾区创新100指数收益率,L,被动指数型,契约型开放式,E
501092.SH,交银瑞思,交银施罗德基金,中国农业银行,混合型,20200221,,20200805,20200217,,49.4585,1.5,0.25,,1,0.0001,,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,L,偏股混合型,契约型开放式,E
515030.SH,新能源车ETF,华夏基金,中国银行,股票型,20200220,,20200304,20200203,,107.6288,0.5,0.1,,1,0.1,,中证新能源汽车指数收益率,L,被动指数型,契约型开放式,E
502000.SH,500增强LOF,西部利得基金,兴业银行,股票型,20200219,,20200224,20200219,,3.5764,1,0.2,,1,,,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,E
169107.SZ,东证恒阳,东证资管,招商银行,混合型,20200213,,20200723,20200207,,19.7196,1.5,0.25,,1,0.001,,沪深300指数收益率*70%+恒生指数收益率*20%+中国债券总指数收益率*10%,L,混合型,契约型开放式,E
515160.SH,MSCI中国招商ETF,招商基金,中国银行,股票型,20200203,,20200302,20191209,,5.0796,0.5,0.1,,1,0.1,,MSCI中国A股国际通指数(MSCI China A Inclusion RMB Index)收益率,L,被动指数型,契约型开放式,E
159994.SZ,5GETF,银华基金,中国农业银行,股票型,20200122,,20200228,20191227,,10.97,0.5,0.1,,1,0.1,,中证5G通信主题指数,L,被动指数型,契约型开放式,E
515210.SH,钢铁ETF,国泰基金,招商银行,股票型,20200122,,20200302,20200102,,4.3523,0.5,0.1,,1,0.1,,中证钢铁指数收益率,L,被动指数型,契约型开放式,E
515850.SH,证券ETF富国,富国基金,中国建设银行,股票型,20200121,,20200221,20191016,,5.0829,0.5,0.1,,1,0.1,,中证全指证券公司指数收益率,L,被动指数型,契约型开放式,E
159995.SZ,芯片ETF,华夏基金,中国建设银行,股票型,20200120,,20200210,20191224,,53.8846,0.5,0.1,,1,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,E
501091.SH,嘉实瑞熙,嘉实基金,招商银行,混合型,20200120,,20200722,20191219,,12.5672,1.5,0.25,,1,0.0001,,沪深300指数收益率*60%+中债综合财富指数收益率*30%+恒生指数收益率*10%,L,偏股混合型,契约型开放式,E
515220.SH,煤炭ETF,国泰基金,中国工商银行,股票型,20200120,,20200302,20200102,,3.9259,0.5,0.1,,1,0.1,,中证煤炭指数收益率,L,被动指数型,契约型开放式,E
159801.SZ,芯片基金,广发基金,中国工商银行,股票型,20200120,,20200218,20200106,,25.2406,0.5,0.1,,1,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,E
515090.SH,可持续发展ETF,博时基金,招商银行,股票型,20200119,,20200220,20191216,,14.708,0.5,0.1,,1,0.1,,中证可持续发展100指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,E
515570.SH,山证红利ETF,山西证券,中国银行,股票型,20200117,,20200409,20191223,,2.6444,0.5,0.1,,1,0.1,,中证红利潜力指数收益率,L,被动指数型,契约型开放式,E
515450.SH,红利低波50ETF,南方基金,中国农业银行,股票型,20200117,,20200226,20191223,,4.7346,0.5,0.1,,1,0.1,,标普中国A股大盘红利低波50指数收益率,L,被动指数型,契约型开放式,E
515700.SH,新能车ETF,平安基金,招商证券,股票型,20191231,,20200210,20191209,,2.8851,0.15,0.05,,1,0.1,,中证新能源汽车产业指数收益率,L,被动指数型,契约型开放式,E
515380.SH,泰康沪深300ETF,泰康资产,招商银行,股票型,20191227,,20200323,20191115,,71.606,0.4,0.05,,1,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,E
159993.SZ,龙头券商,鹏华基金,中信证券,股票型,20191226,,20200207,20191209,,9.747,0.5,0.1,,1,0.1,,国证证券龙头指数收益率,L,被动指数型,契约型开放式,E
515350.SH,民生加银300ETF,民生加银基金,中国农业银行,股票型,20191224,,20200207,20191021,,3.6206,0.15,0.05,,1,0.1,,沪深300指数,L,被动指数型,契约型开放式,E
515980.SH,人工智能ETF,华富基金,招商银行,股票型,20191224,,20200210,20191209,,2.9506,0.5,0.1,,1,0.1,,中证人工智能产业指数收益率,L,被动指数型,契约型开放式,E
159970.SZ,深100ET,工银瑞信基金,浦发银行/上海浦东发展银行,股票型,20191219,,20200110,20191014,,5.0826,0.45,0.1,,1,0.1,,深证100指数收益率,L,被动指数型,契约型开放式,E
159986.SZ,消费100,弘毅远方基金,广发证券,股票型,20191219,,20200120,20190923,,2.1115,0.3,0.1,,1,0.1,,国证消费100指数收益率,L,被动指数型,契约型开放式,E
501090.SH,消费龙头LOF,华宝基金,中国民生银行,股票型,20191219,,20200106,20191008,,2.8858,0.75,0.1,,1,0.0001,,中证消费龙头指数收益率*95%+人民币银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,E
512730.SH,银行行业ETF,鹏华基金,中国建设银行,股票型,20191219,,20200207,20191008,,3.2558,0.3,0.1,,1,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,E
159979.SZ,湾创100,广发基金,招商银行,股票型,20191216,,20200214,20190909,,2.4493,0.3,0.1,,1,0.1,,同期粤港澳大湾区创新100指数收益率,L,被动指数型,契约型开放式,E
161837.SZ,银华大盘,银华基金,中国工商银行,混合型,20191216,,20200521,20191204,,18.4602,1.5,0.25,,1,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+中证综合债指数收益率*20%,L,混合型,契约型开放式,E
515390.SH,华安沪深300ETF,华安基金,招商银行,股票型,20191213,,20200110,20191028,,4.4268,0.15,0.05,,1,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,E
159981.SZ,能源化工,建信基金,中国农业银行,商品型,20191213,,20200117,20191111,,4.8454,0.5,0.1,,1,0.1,,易盛郑商所能源化工指数A收益率,L,能源化工期货型,契约型开放式,E
515070.SH,人工智能AIETF,华夏基金,中国银行,股票型,20191209,,20191224,20191121,,9.9047,0.5,0.1,,1,0.1,,中证人工智能主题指数收益率,L,被动指数型,契约型开放式,E
159990.SZ,小盘价值,银华基金,华泰证券,股票型,20191206,,20200120,20191118,,5.0842,0.5,0.1,,1,0.1,,巨潮小盘价值指数,L,被动指数型,契约型开放式,E
167506.SZ,深圳科技,安信基金,中国农业银行,股票型,20191206,,20200106,20191111,,6.5629,0.5,0.1,,1,0.001,,中证深圳科技创新主题指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,E
515870.SH,先进制造ETF,嘉实基金,中国银行,股票型,20191205,,20200117,20191104,,2.715,0.5,0.1,,1,0.1,,中证先进制造100策略指数收益率,L,被动指数型,契约型开放式,E
515330.SH,300ETF天弘,天弘基金,招商证券,股票型,20191205,,20191226,20191104,,2.3671,0.5,0.1,,1,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,E
515310.SH,沪深300添富ETF,汇添富基金,招商银行,股票型,20191204,,20191225,20190927,,2.7611,0.15,0.05,,1,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,E
159984.SZ,湾区基金,南方基金,招商银行,股票型,20191129,,20200117,20190909,,6.5359,0.3,0.1,,1,0.1,,粤港澳大湾区创新100指数,L,被动指数型,契约型开放式,E
501089.SH,消费红利增强LOF,方正富邦基金,中国民生银行,股票型,20191129,,20191231,20191008,,2.0577,1.2,0.2,,1,0.0001,,中证主要消费红利指数收益率*95%+人民币银行活期存款收益率(税后)*5%,L,增强指数型,契约型开放式,E
515080.SH,中证红利ETF,招商基金,浦发银行/上海浦东发展银行,股票型,20191128,,20191227,20191021,,3.4015,0.2,0.1,,1,0.1,,中证红利指数收益率,L,被动指数型,契约型开放式,E
515060.SH,房地产ETF基金,华夏基金,中国银行,股票型,20191128,,20200103,20191101,,2.3348,0.5,0.1,,1,0.1,,中证全指房地产指数收益率,L,被动指数型,契约型开放式,E
515180.SH,红利ETF易方达,易方达基金,中国银行,股票型,20191126,,20191220,20191030,,9.9264,0.15,0.05,,1,0.1,,中证红利指数收益率,L,被动指数型,契约型开放式,E
515660.SH,国联安沪深300ETF,国联安基金,中国工商银行,股票型,20191125,,20191224,20190828,,5.0099,0.3,0.05,,1,0.1,,沪深300指数,L,被动指数型,契约型开放式,E
159982.SZ,中证500,鹏华基金,中国工商银行,股票型,20191121,,20200220,20190909,,4.9021,0.15,0.05,,1,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,E
515750.SH,科技50ETF,富国基金,中信建投,股票型,20191115,,20191206,20191015,,21.4014,0.5,0.1,,1,0.1,,中证科技50策略指数收益率,L,被动指数型,契约型开放式,E
515550.SH,中融中证500ETF,中融基金,中国光大银行,股票型,20191115,,20191225,20190903,,2.3535,0.3,0.1,,1,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,E
515590.SH,500等权ETF,前海开源基金,中国银河,股票型,20191114,,20200120,20191028,,7.6011,0.15,0.05,,1,0.1,,中证500等权重指数,L,被动指数型,契约型开放式,E
159975.SZ,深100SZ,招商基金,交通银行,股票型,20191107,,20200102,20190826,,9.8117,0.2,0.1,,1,0.1,,深证100指数(价格)收益率,L,被动指数型,契约型开放式,E
511060.SH,5年地方债ETF,海富通基金,招商银行,债券型,20191107,,20191212,20190801,,109.7863,0.15,0.05,,1,0.1,,上证5年期地方政府债指数收益率,L,被动指数型,契约型开放式,E
162216.SZ,泰达500,泰达宏利基金,中国银行,股票型,20191106,,20191205,20191106,,0.0279,1,0.2,,1,,,中证500指数收益率*95%+1年期定期存款利率(税后)*5%,L,增强指数型,契约型开放式,E
515990.SH,国企一带一路ETF,汇添富基金,中国农业银行,股票型,20191106,,20200115,20190911,,36.2435,0.15,0.05,,1,0.1,,中证国企一带一路指数收益率,L,被动指数型,契约型开放式,E
515110.SH,一带一路国企ETF,易方达基金,中国建设银行,股票型,20191106,,20200115,20190911,,83.5829,0.15,0.05,,1,0.1,,中证国企一带一路指数收益率,L,被动指数型,契约型开放式,E
166107.SZ,多因子A,信达澳银基金,中国银行,混合型,20191106,,20191128,20190923,,2.2584,1.5,0.25,,1,0.001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,偏股混合型,契约型开放式,E
515150.SH,一带一路ETF,富国基金,中国银行,股票型,20191106,,20200115,20190911,,82.667,0.15,0.05,,1,0.1,,中证国企一带一路指数收益率,L,被动指数型,契约型开放式,E
